flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2024-09-16,scheduled,"{'airport': 'Yantai', 'timezone': 'Asia/Shanghai', 'iata': 'YNT', 'icao': 'ZSYT', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kansai International', 'timezone': 'Asia/Tokyo', 'iata': 'KIX', 'icao': 'RJBB', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T03:35:00+00:00', 'estimated': '2024-09-16T03:35:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Central Airlines', 'iata': 'I9', 'icao': 'HLF'}","{'number': '8871', 'iata': 'I98871', 'icao': 'HLF8871', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Yantai', 'timezone': 'Asia/Shanghai', 'iata': 'YNT', 'icao': 'ZSYT', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T02:30:00+00:00', 'estimated': '2024-09-16T02:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Longhao Airlines', 'iata': 'GI', 'icao': 'LHA'}","{'number': '4237', 'iata': 'GI4237', 'icao': 'LHA4237', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Shanghai Pudong International', 'timezone': 'Asia/Shanghai', 'iata': 'PVG', 'icao': 'ZSPD', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Shuangliu', 'timezone': 'Asia/Shanghai', 'iata': 'CTU', 'icao': 'ZUUU', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T03:10:00+00:00', 'estimated': '2024-09-16T03:10:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air China LTD', 'iata': 'CA', 'icao': 'CCA'}","{'number': '8443', 'iata': 'CA8443', 'icao': 'CCA8443', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Shanghai Pudong International', 'timezone': 'Asia/Shanghai', 'iata': 'PVG', 'icao': 'ZSPD', 'terminal': '2', 'gate': None, 'delay': 1015, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Dubai', 'timezone': 'Asia/Dubai', 'iata': 'DXB', 'icao': 'OMDB', 'terminal': '3', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T04:55:00+00:00', 'estimated': '2024-09-16T04:55:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Emirates', 'iata': 'EK', 'icao': 'UAE'}","{'number': '303', 'iata': 'EK303', 'icao': 'UAE303', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Shanghai Pudong International', 'timezone': 'Asia/Shanghai', 'iata': 'PVG', 'icao': 'ZSPD', 'terminal': None, 'gate': None, 'delay': 10, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Los Angeles International', 'timezone': 'America/Los_Angeles', 'iata': 'LAX', 'icao': 'KLAX', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-15T20:30:00+00:00', 'estimated': '2024-09-15T20:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'China Southern Airlines', 'iata': 'CZ', 'icao': 'CSN'}","{'number': '441', 'iata': 'CZ441', 'icao': 'CSN441', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Jinjiang', 'timezone': 'Asia/Shanghai', 'iata': 'JJN', 'icao': 'ZSQZ', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Hangzhou', 'timezone': 'Asia/Shanghai', 'iata': 'HGH', 'icao': 'ZSHC', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T01:25:00+00:00', 'estimated': '2024-09-16T01:25:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'SF Airlines', 'iata': 'O3', 'icao': 'CSS'}","{'number': '7067', 'iata': 'O37067', 'icao': 'CSS7067', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Qingdao', 'timezone': 'Asia/Shanghai', 'iata': 'TAO', 'icao': 'ZSQD', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Hangzhou', 'timezone': 'Asia/Shanghai', 'iata': 'HGH', 'icao': 'ZSHC', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T01:30:00+00:00', 'estimated': '2024-09-16T01:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'SF Airlines', 'iata': 'O3', 'icao': 'CSS'}","{'number': '7015', 'iata': 'O37015', 'icao': 'CSS7015', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Tagbilaran', 'timezone': 'Asia/Manila', 'iata': 'TAG', 'icao': 'RPSP', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Seoul (Incheon)', 'timezone': 'Asia/Seoul', 'iata': 'ICN', 'icao': 'RKSI', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T05:50:00+00:00', 'estimated': '2024-09-16T05:50:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air Seoul', 'iata': 'RS', 'icao': 'ASV'}","{'number': '582', 'iata': 'RS582', 'icao': 'ASV582', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Shenzhen', 'timezone': 'Asia/Shanghai', 'iata': 'SZX', 'icao': 'ZGSZ', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Beijing Capital International', 'timezone': 'Asia/Shanghai', 'iata': 'PEK', 'icao': 'ZBAA', 'terminal': None, 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T03:20:00+00:00', 'estimated': '2024-09-16T03:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'SF Airlines', 'iata': 'O3', 'icao': 'CSS'}","{'number': '6813', 'iata': 'O36813', 'icao': 'CSS6813', 'codeshared': None}",,
2024-09-16,scheduled,"{'airport': 'Shenzhen', 'timezone': 'Asia/Shanghai', 'iata': 'SZX', 'icao': 'ZGSZ', 'terminal': 'T3', 'gate': None, 'delay': None, 'scheduled': '2024-09-16T00:05:00+00:00', 'estimated': '2024-09-16T00:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Frankfurt International Airport', 'timezone': 'Europe/Berlin', 'iata': 'FRA', 'icao': 'EDDF', 'terminal': '1', 'gate': None, 'baggage': None, 'delay': None, 'scheduled': '2024-09-16T06:45:00+00:00', 'estimated': '2024-09-16T06:45:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air China LTD', 'iata': 'CA', 'icao': 'CCA'}","{'number': '771', 'iata': 'CA771', 'icao': 'CCA771', 'codeshared': None}",,
